TOPIC_COURSE_ID,TOPIC_ID
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,QFFKRYOYWLXD7K3S9T9H7S7LKQ
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,EK88VEYQGMMY8XVQPC59DY1HMM
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,NYS59GX8874DMLPKCNL4DWGK1Q
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,3W34O2NZYYDMYD8622D167YWV8
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,HX89LJZGMG5OP5G1ZCDJKFE3G1
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,HRZOG8267J7EG9C598PB64Y7M1
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,4126J1DKFXG3X7B1GVVPQJVWKM
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,R6BDJFCFJL9DQZG2MMWT2SBHJ4
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,FK1X282H7RC4TSEWCLXYBPK1D8
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,GKFB5EDS8OZHQDFVV5LZLRHEMM
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,WVVZ9ENXFB44YNMDS6MFCCFLFQ
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,H2HOVQCQ4WSNC6JYPQCHCEYY3O
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,RZQY1JRFX7N4G4GLJ2LC8LFR28
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,Q55OSSSWWXB996H9CK3CPBLH84
Z3NTZ5VV7L4L47LEV9D7NVFW2Q,OQCRP9C2R8FEYXF9P5SH37FP7Y
