EM4_COURSE_ID,EM4_LESSON_ID
XZTS43YGPTXHQ4HCQ82YPZEMMQ,Z8TLEFL1E573VCXGNTSRMNNBM4
XZTS43YGPTXHQ4HCQ82YPZEMMQ,QXJP7ERQL9Q4M4ZYOLEWQ5MP14
XZTS43YGPTXHQ4HCQ82YPZEMMQ,K4LL88LGXNN1CB2V799PZKW7J1
XZTS43YGPTXHQ4HCQ82YPZEMMQ,2G6J86GN22MORVRTM15HXCXYQE
XZTS43YGPTXHQ4HCQ82YPZEMMQ,LHHVSZ5MPVY87O5SMLY3EVXZ6E
XZTS43YGPTXHQ4HCQ82YPZEMMQ,84KYLCWOVS9J837176VJQOBCDQ
XZTS43YGPTXHQ4HCQ82YPZEMMQ,7SL2C6RZ3WRLOZYF98Z87GYJBY
XZTS43YGPTXHQ4HCQ82YPZEMMQ,FF8LWR7ST6SK6D8GHM3NBO7YYQ
XZTS43YGPTXHQ4HCQ82YPZEMMQ,Z9ZMO7MNWC3RFGDJ54LE5WS864
XZTS43YGPTXHQ4HCQ82YPZEMMQ,WODR4915T98Z1D8F6GNV14B17E
XZTS43YGPTXHQ4HCQ82YPZEMMQ,1861OTTF9586OWX5OBKXWXGPM1
XZTS43YGPTXHQ4HCQ82YPZEMMQ,CT6ZYMP49M3BKEEPFR18LEHOWY
XZTS43YGPTXHQ4HCQ82YPZEMMQ,75HZ4EJWJ1XGDJZGFHWOX6F24M
XZTS43YGPTXHQ4HCQ82YPZEMMQ,59JQBQTRZPTXQ1ZJMDOCPPF48Q
